1,2
3,2
4,2
5,4
5,2
6,5
7,4
8,1
9,8
10,4
11,9
12,6
12,2
13,4
14,13
15,4
16,13
17,12
17,8
18,4
19,13
20,19
21,19
22,19
23,17
24,12
25,17
26,13
26,15
27,12
28,4
28,12
29,22
30,2
31,10
32,11
33,17
34,2
34,13
34,23
34,10
35,5
36,2
36,19
36,4
36,5
37,2
38,26
39,8
39,2
40,8
41,28
42,9
43,39
43,17
43,4
44,8
45,22
45,12
46,39
47,22
48,5
49,5
49,13
49,19
49,26
49,17
49,24
49,40
49,15
49,34
49,12
50,5
51,19
52,43
53,15
54,36
55,12
56,25
56,26
56,34
56,4
56,39
56,28
56,5
56,8
56,12
56,17
56,10
57,13
57,49
58,56
58,10
59,4
60,22
61,49
62,10
63,13
63,49
63,28
64,17
65,60
66,12
67,58
68,25
68,12
69,4
70,4
70,56
71,17
72,4
73,4
73,11
74,56
75,12
76,8
76,12
77,43
78,2
78,44
78,73
78,12
78,63
79,28
80,8
81,2
82,25
83,49
84,56
84,34
85,59
85,18
86,13
87,19
87,28
87,43
87,51
87,8
87,12
87,13
87,59
87,17
87,9
87,5
87,4
87,33
87,10
87,39
87,24
87,1
87,34
88,9
89,79
90,59
91,17
92,12
93,77
94,62
95,41
96,56
97,12
98,77
98,56
98,9
98,80
98,13
98,5
98,4
99,12
100,4
101,51
102,12
103,9
104,73
105,62
106,87
107,15
108,12
109,56
110,5
110,21
110,17
111,1
112,2
113,13
114,4
114,52
115,8
116,84
117,26
118,4
119,18
119,12
120,28
121,49
121,26
122,56
123,87
124,34
124,26
124,56
124,99
125,77
126,124
127,45
128,56
128,13
128,59
129,19
130,87
131,125
132,39
133,81
134,25
135,49
136,56
137,115
137,128
138,28
139,91
140,56
141,105
142,117
143,12
144,120
145,13
146,13
147,9
148,11
149,102
150,63
151,56
152,40
153,5
154,73
155,51
156,109
157,15
158,90
159,12
160,10
161,46
162,81
163,26
164,56
164,2
164,68
165,98
166,56
167,148
167,12
168,18
169,61
169,121
170,80
171,102
172,59
173,98
173,93
173,106
174,40
175,117
176,150
176,21
177,17
178,2
179,6
180,79
181,2
181,56
182,80
183,63
184,21
185,55
186,177
187,29
187,49
188,140
189,8
190,17
190,37
191,164
192,169
193,8
194,63
195,102
196,168
197,55
198,2
199,138
200,2
201,9
201,91
201,8
202,2
203,17
203,87
204,186
205,12
206,12
207,19
208,19
209,104
210,6
211,110
212,36
213,59
214,145
215,72
216,175
217,8
218,56
219,69
220,202
221,4
222,16
223,1
224,87
225,56
226,182
227,29
227,49
227,19
227,121
227,187
228,43
229,25
230,88
231,188
232,11
233,28
234,12
235,80
236,17
237,17
237,112
238,26
239,121
240,59
240,12
241,19
242,87
243,128
243,81
244,87
245,13
245,59
246,4
247,66
247,4
248,12
249,1
250,8
251,12
252,247
252,90
252,87
253,19
253,160
254,4
255,68
256,40
257,233
258,22
259,208
260,176
261,51
262,37
263,16
264,56
265,110
265,10
265,17
266,56
267,73
268,41
269,128
269,10
270,4
271,203
271,12
272,94
273,124
274,244
275,87
276,182
277,80
278,102
279,59
280,4
280,19
281,173
282,4
282,2
283,279
284,175
285,64
285,98
285,164
285,124
286,59
286,87
287,157
288,4
289,87
290,269
291,150
292,164
293,39
294,42
295,19
296,233
297,19
297,12
298,2
299,46
300,59
300,87
301,42
302,283
303,13
304,54
305,126
306,240
307,269
307,87
308,149
309,36
310,56
311,13
311,28
311,212
312,49
313,124
314,173
315,201
315,246
316,256
317,6
318,221
319,110
320,122
320,184
321,73
322,98
323,84
324,2
325,33
326,90
326,247
326,26
327,25
328,12
329,69
330,17
331,105
332,56
333,60
334,326
335,56
336,250
336,17
337,4
338,278
339,22
340,13
341,49
341,6
342,12
343,229
344,21
345,225
346,61
347,8
348,4
349,336
350,290
351,2
352,308
353,4
354,2
355,13
356,146
357,287
358,201
358,93
358,104
358,19
358,290
359,36
360,4
361,130
362,36
363,8
363,70
364,110
365,5
366,15
367,291
367,329
368,87
369,319
369,81
370,55
371,252
372,91
373,261
374,124
375,370
376,104
376,311
376,1
377,290
378,207
379,2
380,93
381,63
382,128
382,38
382,311
382,92
383,174
384,94
385,4
385,68
386,173
387,73
388,268
389,12
390,25
390,87
390,233
390,274
390,78
391,173
392,314
393,13
394,84
395,59
396,1
396,158
396,49
397,102
398,2
399,253
400,52
401,203
402,78
403,73
404,2
405,207
405,368
